id,rank,frequency,active_count,ablation_mse_increase,additive_benefit_share,output_energy
277,128,0.00029119062708757987,17,6.032032145435512e-05,9.272272608206367e-05,6.065072155454536e-05
1897,32,0.0002740617666706634,16,5.6376005775355004e-05,9.255283649266216e-05,5.010799015314242e-05
527,128,0.00030831948750449634,18,4.394282599235761e-05,9.254802932473295e-05,4.460371863425255e-05
1284,32,0.0006680255562597421,39,4.39091102104287e-05,9.250116346449048e-05,8.24513484124802e-05
975,64,0.0004624792312567445,27,5.5453200403396933e-05,9.248064288246704e-05,5.869404127495672e-05
2409,32,0.0030489371542111302,178,2.5164320281518048e-05,9.230847312687356e-05,2.619083667368698e-05
1777,32,0.00015415974375224817,9,5.535750593285944e-05,9.219153233383963e-05,5.687311896868468e-05
2204,32,0.0009078296020965725,53,5.173131298415524e-05,9.20433571319908e-05,5.064936860227092e-05
107,256,0.000479608091673661,28,4.996770713355493e-05,9.196066522771434e-05,4.2121016299870984e-05
638,64,0.0005309946729244103,31,3.947701003457412e-05,9.18991974239903e-05,5.098389215425745e-05
1700,32,0.004950240660488858,289,3.907126488164354e-05,9.185445488581541e-05,3.944563919912864e-05
2183,32,0.0005309946729244103,31,6.108665120815851e-05,9.184814991106658e-05,5.531657834726955e-05
363,128,0.000479608091673661,28,4.8219982605284635e-05,9.174517502174548e-05,4.36845801537015e-05
840,64,0.00030831948750449634,18,6.124730024132188e-05,9.167658627988374e-05,5.447632550021176e-05
1893,32,0.00042822151042291157,25,4.993494146304852e-05,9.139312310112108e-05,5.2869841830339736e-05
1309,32,0.000479608091673661,28,5.172415055505962e-05,9.064739183602474e-05,5.3325523186113046e-05
2088,32,0.00042822151042291157,25,5.5475863735689e-05,9.06210106864487e-05,5.838007602153237e-05
1904,32,0.0002398040458368305,14,3.38463042935696e-05,9.022302529013669e-05,5.8696193662070946e-05
2255,32,0.0004110926500059951,24,5.800203068931927e-05,9.022271476601229e-05,6.118739644260981e-05
396,128,0.0003425772083383293,20,5.661469704639556e-05,8.976773546869437e-05,5.219530737458658e-05
